feature,coefficient,abs_coef
fw_this,-0.17854237595720082,0.17854237595720082
uppercase_ratio,0.17693995485443478,0.17693995485443478
fw_which,-0.1519133107203021,0.1519133107203021
pronoun_start_rate,0.15027951358952388,0.15027951358952388
fw_the,-0.14073969222200217,0.14073969222200217
std_word_len,0.13431146421993023,0.13431146421993023
fw_of,-0.1278091659547529,0.1278091659547529
punct_excl_rate,-0.1255633408771207,0.1255633408771207
cat_hedge_rate,-0.11433417455776915,0.11433417455776915
fw_there,-0.11099538634678253,0.11099538634678253
punct_semicolon_rate,0.10669805296077867,0.10669805296077867
fw_so,0.10664312828678035,0.10664312828678035
char_o_rate,-0.10482243608499132,0.10482243608499132
word_len_4_frac,-0.10268984674688009,0.10268984674688009
cat_discourse_rate,-0.10220709902262164,0.10220709902262164
fw_to,-0.09873743144822433,0.09873743144822433
char_a_rate,0.09869339796163609,0.09869339796163609
fw_who,-0.09779978233122467,0.09779978233122467
fw_with,0.09407010184542876,0.09407010184542876
median_word_len,0.0936103517141335,0.0936103517141335
yule_k,-0.09287902374608188,0.09287902374608188
simpson_d,-0.09287372994810975,0.09287372994810975
fw_have,-0.09232357999317231,0.09232357999317231
word_len_5_frac,-0.08516108760786494,0.08516108760786494
fw_by,-0.07714776039849719,0.07714776039849719
punct_dash_rate,-0.074314248027177,0.074314248027177
char_i_rate,-0.07027907868367386,0.07027907868367386
cat_amplifier_rate,-0.06913096317960073,0.06913096317960073
fw_in,-0.06900098971286844,0.06900098971286844
fw_me,0.06456636664229413,0.06456636664229413
fw_that,0.06418434814798592,0.06418434814798592
max_word_len,0.06366870586484723,0.06366870586484723
fw_you,0.06261248398912249,0.06261248398912249
fw_about,-0.059790201164949666,0.059790201164949666
avg_word_len,0.05904893550393628,0.05904893550393628
punct_dquote_rate,0.0589544442061591,0.0589544442061591
fw_my,-0.05884613696431468,0.05884613696431468
word_len_6_frac,0.05866260157666746,0.05866260157666746
word_len_1_frac,0.0577274548790064,0.0577274548790064
fw_a,-0.057135393245586946,0.057135393245586946
fw_on,-0.0548960070673461,0.0548960070673461
fw_as,0.05148544819728088,0.05148544819728088
median_sent_len,-0.05122430757787237,0.05122430757787237
hapax_dis_ratio,-0.050878865819773245,0.050878865819773245
fw_would,0.04954495142156137,0.04954495142156137
fw_at,0.0481710464578507,0.0481710464578507
fw_i,-0.04686469295830791,0.04686469295830791
fw_but,0.046611148903227734,0.046611148903227734
std_sent_len,0.044644899725147784,0.044644899725147784
fw_get,0.04430655500681922,0.04430655500681922
fw_for,-0.04361698876729287,0.04361698876729287
punct_question_rate,-0.04351710290119039,0.04351710290119039
fw_his,0.04219280335072347,0.04219280335072347
punct_comma_rate,0.04189536299645964,0.04189536299645964
fw_up,-0.04171778265625431,0.04171778265625431
fw_it,-0.04038920079494707,0.04038920079494707
fw_do,-0.04033207595104993,0.04033207595104993
brunet_w,0.039474007197312644,0.039474007197312644
word_len_2_frac,-0.03911004605837455,0.03911004605837455
punct_period_rate,0.03604628597587048,0.03604628597587048
max_sent_len,0.03254239206580815,0.03254239206580815
n_sentences,0.03156998536763922,0.03156998536763922
fw_if,-0.03136775580734043,0.03136775580734043
fw_not,-0.030659168410467924,0.030659168410467924
fw_will,0.030213278442507586,0.030213278442507586
fw_we,-0.02828089062836738,0.02828089062836738
fw_go,0.028256564890091342,0.028256564890091342
contraction_rate,0.027425891231897332,0.027425891231897332
punct_apost_rate,0.025508794654352716,0.025508794654352716
n_tokens,-0.02492104660954587,0.02492104660954587
avg_paragraph_len,-0.02492104660954587,0.02492104660954587
min_sent_len,-0.02464046516551683,0.02464046516551683
fw_and,-0.0221772118271686,0.0221772118271686
fw_they,-0.021443399420949385,0.021443399420949385
fw_all,0.019619649904619594,0.019619649904619594
fw_their,0.019602928395847537,0.019602928395847537
fw_be,0.017457605676120806,0.017457605676120806
avg_sent_len,-0.01700019761620769,0.01700019761620769
cat_conj_rate,-0.01352114799701276,0.01352114799701276
n_vocab,-0.013308649320109474,0.013308649320109474
fw_or,0.013237836901581588,0.013237836901581588
punct_paren_rate,0.012956367000413225,0.012956367000413225
word_len_3_frac,-0.012216296791352721,0.012216296791352721
fw_an,0.011356292515356619,0.011356292515356619
type_token_ratio,-0.008746871502239876,0.008746871502239876
char_e_rate,-0.008155318091258287,0.008155318091258287
fw_say,0.007120382610387899,0.007120382610387899
hapax_ratio,-0.006719526112371118,0.006719526112371118
fw_what,-0.005934097966871774,0.005934097966871774
fw_her,0.0058012752235645035,0.0058012752235645035
fw_from,-0.0058012067364447435,0.0058012067364447435
fw_one,0.005697698455951153,0.005697698455951153
fw_out,0.005273568197898483,0.005273568197898483
fw_she,0.0047321566489552875,0.0047321566489552875
fw_he,0.004539004423501758,0.004539004423501758
punct_colon_rate,0.0028942253999629654,0.0028942253999629654
honore_r,-0.0010297774552199925,0.0010297774552199925
char_u_rate,-0.0005249273266366205,0.0005249273266366205
pos_noun,0.0,0.0
pos_prep,0.0,0.0
pos_det,0.0,0.0
pos_pron,0.0,0.0
pos_adv,0.0,0.0
pos_adj,0.0,0.0
pos_verb,0.0,0.0
pos_conj,0.0,0.0
pos_modal,0.0,0.0
