author,total,pre (<=2022),post (>=2024),>= 1526 words,< 1526 words
eliezer_yudkowsky,41,32,8,41,0
kaj_sotala,41,17,18,41,0
katjagrace,41,40,1,41,0
jasoncrawford,41,9,7,41,0
gordon-seidoh-worley,40,27,9,40,0
benquo,40,23,17,40,0
david-gross,39,33,5,39,0
jacob-falkovich,38,30,5,38,0
adamshimi,38,26,12,38,0
screwtape,37,0,30,37,0
abramdemski,37,12,20,37,0
ryan_greenblatt,36,0,36,36,0
sarahconstantin,35,8,27,35,0
steve2152,34,0,34,34,0
johnswentworth,34,0,31,34,0
joe-carlsmith,32,0,24,32,0
tsvibt,31,1,11,31,0
petermccluskey,31,14,11,31,0
raemon,30,0,26,30,0
zvi,30,0,30,30,0
zack_m_davis,30,10,13,30,0
elizabeth-1,29,8,12,29,0
ruby,29,11,13,29,0
holdenkarnofsky,28,17,1,28,0
buck,26,0,22,26,0
